vessel_name,owner,owner_address,vessel_type,flag,owner_location,home_port
ZHONG RONG 13,"RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG ,SHANDONG",Longliner,CHN,"('RONGCHENG', None)","('Shidao', 'CHN')"
LOMETO,Pan Pacific Fishing (RMI) INC.,"Delap Village, P.O. Box 1289, Majuro, Republic of Marshall Islands MH 96960",Purse seiner,MHL,"('Majuro', None)","('Jaluit Island', 'MHL')"
TUNA PEAK NO66,JK PACIFIC FISHERY LTD,"First Floor, Law Partners House, P.O.BOX 1019, Port Vila Vanuatu",Tuna longliner,VUT,"('P.O.BOX 1019', None)","('Port Vila', 'VUT')"
HUA NAN YU 739,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 738,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 737,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 736,"China Southern Fishery (Shenzhen) Co.,Ltd","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 732,"China Southern Fishery (Shenzhen) Co.,Ltd","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 731,"China Southern Fishery (Shenzhen) Co.,ltd","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
XIN SHI JI 87,"ZHE JIANG NEW TIMES INTERNATIONAL FISHERIES CO., LTD.","Station10,Room502,No1-5,Shanghui Road,Ganlan,Dinghai District,Zhoushan,Zhejiang",Tuna longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
XIN SHI JI NO17,"ZHEJIANG NEW TIMES INTERNATIONAL FISHERIES CO., LTD.","Station10,Room502,No1-5,Shanghui Road,Ganlan,Dinghai District,Zhoushan,Zhejiang",Tuna longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
ZHOU YUAN YU 2602,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
SUIYUANYU38,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building, NO.2846 Xingang East Road, Haizhu District, Guangzhou, China",Longliner,CHN,"('Guangzhou', 'CHN')","('Guangzhou', 'CHN')"
WIN WIN 707,FAIR RICH INTERNATIONAL GROUP LTD,"FIRST FLOOR, PKF HOUSE, LINI HIGHWAY, PORT VILA, VANUATU",Tuna purse seiner,VUT,"('PORT VILA', 'VUT')","('Port Vila', 'VUT')"
SHEN LIAN CHENG 883,"LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.","4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
SHEN LIAN CHENG 884,"LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.","4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 767,"CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD","4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 762,"CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD","4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 761,"CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD","4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 705,"CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD","4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
AOMORI MARU,AOMORI-KEN,"1-1-1, Nagashima, Aomori-shi, 030-8540, Japan",Fishery research vessel,JPN,"('030-8540', 'JPN')","('Hachinohe', 'JPN')"
AICHI MARU,MIYA SUISAN KO,"2-1, SUIJINCHOU, MIYACHO, GAMAGORI, AICHI, JAPAN",Fishery research vessel,JPN,"('AICHI', 'JPN')","('Gamagori', 'JPN')"
WEI NING,"WEI FONG SHIPPING CO., LIMITED","Floor 11 Bldg. 1, Youth Square, No.68 lvdao Road Lincheng",Fish carrier,LBR,"('Youth Square', None)","('Monrovia', 'LBR')"
ACONCAGUA BAY,ACONCAGUA BAY SHIPPING COMPANY B.V. (Foreign Maritime Entity),"Leonard Springerlaan 17, Groningen 9727 KB, Netherlands",Fish carrier,LBR,"('Groningen 9727 KB', 'NLD')","('Monrovia', 'LBR')"
NO639 DONGWON,"DONGWON FISHERIES CO.,LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
NO638 DONG WON,DONGWON FISHERIES CO.LTD.,"4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
NO651 DONG WON,"DONGWON FISHERIES Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
NO631 DONG WON,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
NO622 DONG WON,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
NO618 DONG WON,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",Tuna longliner,KOR,"('SEOUL', None)","('Busan', None)"
FUKUICHI MARU NO83,TAIJIN GYOGYO KABUSHIKI KAISHA,"5-9-25, NAKAMINATO, YAIZU-SHI, SHIZUOKA-KEN, JAPAN",Tuna purse seiner,JPN,"('SHIZUOKA-KEN', 'JPN')","('Yaizu', 'JPN')"
LU RONG YUAN YU 138,SHAN DONG LIDAO OCEANIC TECHNOLOGY COMPANY LIMITED,RONG CHENG SHAN DONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 137,SHAN DONG LIDAO OCEANIC TECHNOLOGY COMPANY LIMITED,RONG CHENG SHAN DONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
SUIYUANYU32,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
SUIYUANYU40,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building, NO.2846 Xingang East Road, Haizhu District, Guangzhou, China",Longliner,CHN,"('Guangzhou', 'CHN')","('Guangzhou', 'CHN')"
SEIRYU MARU NO5,ASANO SUISAN INC,"2380, NAKAMURA-OTU, NANGO-CHO, NICHINAN-SHI, MIYAZAKI, JAPAN",Pole and line vessel,JPN,"('MIYAZAKI', 'JPN')","('Nango', 'JPN')"
TATSUYOSHI MARU,TAKAMARU SUISAN INC,"4871-2,NAKAMURA-OTSU, NANGO-CHO, NICHINAN-SHI, MIYAZAKI-KEN, JAPAN",Pole and line vessel,JPN,"('MIYAZAKI-KEN', 'JPN')","('Nango', 'JPN')"
INARI MARU NO85,YUGENGAISHA  HIROYA,"9547, HASAKI,KAMISU-SHI,IBARAKI,JAPAN",Pole and line vessel,JPN,"('IBARAKI', 'JPN')","('Kamisu-Shi', 'JPN')"
SEIYU,"GREEN WORLD CO.,LTD","6th Floor Green World Bldg,, 10, Jungang-daero 236beon-gil, Dong-gu, Busan, Republic of Korea",Fish carrier,KOR,"('Busan', None)","('Jeju', None)"
LU RONG YUAN YU 328,"Rongcheng Mashan Ocean Fishery Co.,ltd",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 299,"Rongcheng Mashan Ocean Fishery Co., LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 298,"Rongcheng Mashan Ocean Fishery Co., LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
JINXIANG808,"AOXIAN(SHENZHEN)FISHERY CO.,LTD","Yantian Modern Industry Service Center   6a-155Shatoujiao Street, Yantian District, Shenzhen，  China",Longliner,CHN,"('Yantian District', None)","('Shekou', 'CHN')"
WAKABA MARU NO6,"KYOKUYO SUISAN CO.,LTD.","1441-1, HABUCHI, YAIZU-SHI, SHIZUOKA-KEN, JAPAN",Tuna purse seiner,JPN,"('SHIZUOKA-KEN', 'JPN')","('Yaizu', 'JPN')"
HUA NAN YU 723,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 722,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 721,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 719,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 718,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 717,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 716,"CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.","4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 712,"CHINA SOUTHERN FISHERY(SHENZHEN) CO.,LTD.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China 518035",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
HUA NAN YU 711,"CHINA SOUTHERN FISHERY(SHENZHEN) CO.,LTD.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China 518035",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
SHEN LIAN CHENG 885,"LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.","4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
SHEN LIAN CHENG 882,"LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.","4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
SHEN LIAN CHENG 881,"LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.","4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
ZHONGSHUI957,"CNFC OVERSEAS FISHERIES CO.,LTD","101,1-11 Building 19, Block18, 188 West Road, South 4th Ring Road, Fengtai District, Beijing",Tuna longliner,CHN,"('Fengtai District', None)","('Yantai', 'CHN')"
ZHONG SHUI 748,"CNFC Overseas Fisheries Co., Ltd.","NO.31, MinfengLane, Xi Dan, Beijing, China",Longliner,CHN,"('Beijing', 'CHN')","('Yantai', 'CHN')"
RONGHENG78,"SHENZHEN RONGHENG OCEAN FISHERY CO.,LTD.","ROOM 1805B,SHENZHEN DAZHONGHUA INTERNATIONAL TRADING PLAZA,NO.1 FUHUA FIRST ROAD,FU'AN COMMUNITY,FUTIAN STREET,FUTIAN DISTRICT,SHENZHEN CITY",Longliner,CHN,"('FUTIAN DISTRICT', None)","('Shekou', 'CHN')"
RONGHENG49,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
RONGYE159,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
RONGYE153,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
RONGYE119,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
PINGTAIRONG688,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG313,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","Floor 10-11th, PUTUO MARINE & FISHERIES BUILDING , NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Tuna longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG316,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","Floor 10-11th, PUTUO MARINE & FISHERIES BUILDING , NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Tuna longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG79,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG71,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
PINGTAIRONG39,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG31,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG13,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
PINGTAIRONG9,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","Floor 10 - 11th Putuo Marine & Fisheries Building, No. 9 West Donghai RoadShenjiamen Street,Putuo District, Zhoushan City, China",Longliner,CHN,"('Zhoushan City', 'CHN')","('Zhoushan', 'CHN')"
GOEI MARU NO88,KABUSHIKI KAISHA GOEIMARU,"2661-1, MUTOTSU, MUROTO-SHI, KOCHI, JAPAN",Longliner,JPN,"('KOCHI', 'JPN')","('Muroto', 'JPN')"
KAIGO MARU NO8,MYOEI,"1737-1, MUROTSU, MUROTO-SHI, KOCHI-KEN, JAPAN",Tuna longliner,JPN,"('KOCHI-KEN', 'JPN')","('Muroto', 'JPN')"
NISSHOMARU NO38,NISSYO,"440-6, OTSU, OOTSU, KOCHI-SHI, KOCHI-KEN, JAPAN",Pole and line vessel,JPN,"('KOCHI-KEN', 'JPN')","('Kochi', 'JPN')"
LB EBS-04,TRINITY HOME INDUSTRIAL DEVELOPMENT CORPORATION,"SPRINGVALLEY COMPOUND, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LU RONG YUAN YU 136,SHAN DONG LIDAO OCEANIC TECHNOLOGY COMPANY LIMITED,RONG CHENG SHAN DONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LURONGYUANYU636,Shandong Lidao Oceanic Technology Company Limited,Rongcheng Shandong,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LURONGYUANYU639,Shandong Lidao Oceanic Technology Company Limited,Rongcheng Shandong,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LURONGYUANYU638,Shandong Lidao Oceanic Technology Company Limited,Rongcheng Shandong,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LURONGYUANYU637,Shandong Lidao Oceanic Technology Company Limited,Rongcheng Shandong,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 618,"ShanDong  LiDao  Oceanic Technology  Co.,LTD",RONGCHENGSHANDONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
CHIEN CHANG NO326,"CHIEN PAO OCEAN ENTERPRISE CO., LTD.","No.48, Yanping St., Gushan District, Kaohsiung City 804, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 804', None)","('Kaohsiung', None)"
CHIN YU CHUN,"HUANG, CHIU CHU","No.183-2, Zhongzheng Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929', None)","('Kaohsiung', None)"
AN WEN FA NO16,"CHEN, XIAO-YUN","No.97, Yanhai Rd., Donggang Township, Pingtung County 928007, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928007', None)","('Kaohsiung', None)"
BETTY H,BETTY H LLP,"888 MARINE DR, BELLINGHAM, WA 98225-8420, USA",Troller,USA,"('WA 98225-8420', None)","('Bellingham', None)"
PACIFIC PRINCESS,PACIFIC PRINCESS PARTNERSHIP LTD,"3687 VOLTAIRE ST STE D, SAN DIEGO, CA 92106-1200, USA",Tuna purse seiner,USA,"('CA 92106-1200', None)","('Las Vegas', None)"
PROSPERITY 12,PROSPERITY MARINE PTE. LTD,"6001 BEACH ROAD, #17-05/06, SINGAPUR 1995989",Unknown abbreviation,PAN,"('#17-05/06', None)","('Panama', 'PAN')"
KAIUN MARU,Aomori Prefectual Industrial Technology Research Center,"82-9 tanaka kuroishi-city,aomori,jp",Fishery research vessel,JPN,"('aomori', None)","('Hachinohe', 'JPN')"
TAIKEI MARU NO18,"TAIKEIMARU SUISAN CO.,LTD","65-5, AZA-UETA, TOMIGUSUKU-SHI, OKINAWA-KEN, JAPAN",Tuna longliner,JPN,"('OKINAWA-KEN', 'JPN')","('Susaki', 'JPN')"
MARITA 88,FRABELLE FISHING CORPORATION,"SITIO CABU BAWING, GENERAL SANTOS CITY",Purse seiner,PHL,"('SITIO CABU BAWING', None)","('Manila', 'PHL')"
LANHAI 101,"Yellow Sea Fisheries Research Institute , Chinese Academy of Fishery Sciences","No. 106, Nanjing Road, Shinan District, Qingdao City, Shandong Province",Fishery research vessel,CHN,"('Qingdao City', None)","('Qingdao', 'CHN')"
LU RONG YUAN YU 139,SHAN DONG LIDAO OCEANIC TECHNOLOGY COMPANY LIMITED,RONG CHENG SHAN DONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 59,Shandong Lidao Oceanic Technology Company Limited,"Lidao Village, Lidao Town, Rongcheng City",Longliner,CHN,"('Lidao Town', None)","('Shidao', 'CHN')"
LU RONG YUAN YU 58,Shandong Lidao Oceanic Technology Company Limited,"Lidao Village, Lidao Town, Rongcheng City",Longliner,CHN,"('Lidao Town', None)","('Shidao', 'CHN')"
LU RONG YUAN YU 57,Shandong Lidao Oceanic Technology Company Limited,"Lidao Village, Lidao Town, Rongcheng City",Longliner,CHN,"('Lidao Town', None)","('Shidao', 'CHN')"
LU RONG YUAN YU 56,Shandong Lidao Oceanic Technology Company Limited,"Lidao Village, Lidao Town, Rongcheng City",Longliner,CHN,"('Lidao Town', None)","('Shidao', 'CHN')"
OCEAN EXPLORER,TUNA FISHING AUSTRALIA PTY LTD,PO BOX 14 BUDDINA QLD 4575 Australia,Tuna longliner,AUS,"(None, None)","('Mooloolaba', 'AUS')"
SAN SHENG FA NO3,SAN SHENG OCEAN LTD.,"1F., No.75, Yanping Rd., Donggang Township, Pingtung County 92843, Taiwan",Tuna longliner,TWN,"('Pingtung County 92843', None)","('Kaohsiung', None)"
JIA YI 28,"ZHOUSHAN JIAHANG MARINE CO.,LTD","ZHOUSHAN JIAHANG MARINE CO.,LTD/ Rm1003,West building, Zhoushan Haizhongzhou International Plaza,2701 Haitian Avenue,Donggang street,Putuo District, Zhoushan City,Zhejiang province,P.R.CHINA",Fish carrier,CHN,"('Zhejiang province', None)","('Zhoushan', 'CHN')"
