original_address,new_address,owner_providence_state,owner_country,owner_latitude,owner_longitude
P.O. BOX 1833 KOLONIA POHNPEI  FM 96941,P.O. BOX 1833 KOLONIA,POHNPEI,FM,6.965,158.215
"P.O.BOX 1833, Kolonia, Pohnpei State FSM 96941","P.O. BOX 1833, Kolonia",Pohnpei State,FSM,6.9675,158.215
"P.O.Box 1833, Kolonia, Pohnpei State FM 96941","P.O.Box 1833, Kolonia",Pohnpei State,FSM,6.95833,158.25
"P.O.BOX 1450, Kolonia, Pohnpei FM 96941","P.O.BOX 1450, Kolonia",Pohnpei,FM,6.967438,158.207228
"P.O.Box 1450, Kolonia, Pohnpei, FM96941","P.O.Box 1450, Kolonia",Pohnpei,FSM,6.955,158.18
"P.O.Box 1450,Kolonia,Pohnpei,FM96941","P.O. Box 1450, Kolonia -- Pohnpei -- FSM -- 6.96290 -- 158.27670",,,,
"P.O. BOX 1036 COLONIA, YAP, FM 96943",P.O. BOX 1036 COLONIA,Yap State,FSM,9.535,138.1075
"P.O. BOX 7 Kolonia, Pohnpei FM 96941",P.O. BOX 7 Kolonia,Pohnpei,FM,6.96472,158.21583
P.O.BOX R KOLONIA POHNPEI  FM  96941,P.O. BOX R Kolonia,Pohnpei,FSM,6.95865,158.24726
"POB R, KOLONIA POHNPEI FM  96941","POB R, Kolonia",Pohnpei,FSM,6.95741,158.21544
"P.O. BOX R, KOLONIA, POHNPEI FM 96941","P.O. BOX R, Kolonia",Pohnpei,FSM,6.96762,158.20874
"P.O.BOX PS 1833 Kolonia, Pohnpei FSM 96941",P.O. BOX PS 1833 Kolonia,Pohnpei,FSM,6.96278,158.215
"P.O. Box 1450Kolonia, Pohnpei 96941",P.O. Box 1450,"Kolonia, Pohnpei",FSM,6.9625,158.25
"P.O. Box  1450, Kolonia, Pohnpei FM 96941","P.O. Box 1450, Kolonia",Pohnpei,FM,6.95,158.1675
"P.O. Box 1450
Kolonia, Pohnpei FM 96941",P.O. Box 1450,"Kolonia, Pohnpei",FSM,6.96225,158.24778
"P.O. Box 1833 Kolonia, Pohnpei State FSM 96941",P.O. Box 1833 Kolonia,Pohnpei State,FSM,6.96,158.215
"P.O Box 1833 Kolonia, Pohnpei FSM 96941",P.O Box 1833 Kolonia,Pohnpei,FSM,6.9625,158.2125
"P.O. BOX 1833 Kolonia, Pohnpei State FM 96941",P.O. BOX 1833 Kolonia,Pohnpei State,FM,6.96222,158.22778
"Kapwarsou Str NFC Building PO BOX R, KOLONIA, POHNPEI, FM 96941",Kapwarsou Str NFC Building PO BOX R,"Kolonia, Pohnpei",FSM,6.97444,158.20861
"Kapwar Sou Street NFC BuildingP.O. Box RKolonia, Pohnpei State, FM 96941",Kapwar Sou Street NFC Building,Pohnpei State,FSM,6.96333,158.25
"c/o Kapwarsou Street, NFC Building, P.O. Box R, Kolonia, Pohnpei FM 96941","c/o Kapwarsou Street, NFC Building, P.O. Box R, Kolonia",Pohnpei,FSM,6.96667,158.25
"Kawasan Industri Perikanan Pelabuhan Samudera Blok. K Kav No.4, Kel. Penjaringan, Kec. Penjaringan, Kota
Jakarta Utara, Prov. DKI Jakarta","Kawasan Industri Perikanan Pelabuhan Samudera Blok. K Kav No.4, Kel. Penjaringan, Kec. Penjaringan, Kota Jakarta Utara, Prov. DKI Jakarta",Jakarta,IDN,-6.12813,106.84128
"Muara Baru Center Gedung B No. 118-119, Kel. Penjaringan, Kec. Penjaringan, Kota Jakarta Utara","Muara Baru Center Gedung B No. 118-119, Kel. Penjaringan, Kec. Penjaringan",Jakarta Utara,IDN,-6.1425,106.792221
"Jln. Gondangdia Kecil 2 A, RT.001/RW.005, Kel. Cikini, Kec. Menteng, Kota Jakarta Pusat","Jln. Gondangdia Kecil 2 A, RT.001/RW.005, Kel. Cikini, Kec. Menteng",Jakarta Pusat,IDN,-6.194711,106.832068
"126,ORIKUCHI-CHO,MAKURAZAKI-SHI,KAGOSHIMA,JAPAN","126, Orikuchi-cho, Makurazaki-shi",Kagoshima,JPN,31.42699,130.26852
"126 ORIGUCHICHO,MAKURAZAKI-SHI,KAGOSHIMA-KEN,JAPAN",126 ORIGUCHICHO,"MAKURAZAKI-SHI, KAGOSHIMA-KEN",JPN,31.27809,130.30373
"219, UKITSUNIBAN-CHO, MUROTO-SHI, KOCHI-KEN, JAPAN","219, UKITSUNIBAN-CHO, MUROTO-SHI, KOCHI-KEN",Kochi,JPN,33.2876,
"784-6, MIYAHIRA-AZA, HAEBARU-CHO, SHIMAJIRI-GUN, OKINAWA-KEN, JAPAN","– 784-6, Miyahira-Aza, Haebaru-cho, Shimajiri-gun, Okinawa-ken",– Okinawa,– JPN,,
"2-603 3 BAN, 2CHOME, MINAMIHARIMAYA-CHO, KOCHI-SHI,KOCHI,JAPAN","2-603 3 BAN, 2CHOME, MINAMIHARIMAYA-CHO, KOCHI-SHI, KOCHI",Kochi,JPN,33.56247,133.53012
"28-26, AZA, TAKEGASHIMA, SHISHIKUIURA, KAIYO-CHO, KAIFU-GUN, TOKUSHIMA-KEN, JAPAN","28-26, AZA, TAKEGASHIMA, SHISHIKUIURA, KAIYO-CHO, KAIFU-GUN, TOKUSHIMA-KEN",Tokushima,JPN,33.4421,134.73125
"559-1,HEDA,NUMAZU-SHI,SHIZUOKA,JAPAN","559-1, Heda, Numazu-shi, Shizuoka",Shizuoka,JPN,35.09028,138.83667
"1698-2, KUBOTSU, TOSASHIMIZU-SHI, KOCHI, JAPAN","1698-2, Kubotsu","Tosashimizu-shi, Kochi",JPN,32.96667,133.20333
"5-9-25, NAKAMINATO, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","5-9-25 Nakaminate, Yaizu-shi, Shizuoka-ken, Japan",Shizuoka,JPN,34.86933,138.25564
"5-9-25 NAKAMINATO, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","5-9-25 Nakaminto, Yaizu-shi, Shizuoka-ken -- Shizuoka -- JPN -- 34.96608 -- 138.22667",,,,
"198-5, KAMIKOSABA, KARAKUWA-CHO, KESENNUMA-SHI, MIYAGI-KEN, JAPAN","198-5, Kamikosaba, Karakuwa-cho, Kesennuma-shi, Miyagi-ken",Miyagi,JPN,38.9325,141.55611
"198-5, KAMIKOSABA, KARAKUWA-CHO, KESENNUMA-SHI, MIYAGI, JAPAN","198-5 Kamikosaba, Karakuwa-cho, Kesennuma-shi, Miyagi",Miyagi,JPN,38.91444,141.57278
"198-5,KAMIKOSABA, KARAKUWA-CHO, KESENNUMA-SHI, MIYAGI-KEN, JAPAN","198-5, Kamikosaba, Karakuwa-cho, Kesennuma-shi, Miyagi-ken",Miyagi,JPN,38.9325,141.55556
"134-34, KATAGAMI, NANGO-CHO, NICHINAN-SHI, MIYAZAKI, JAPAN","134-34, Katagami, Nango-cho, Nichinan-shi, Miyazaki",Miyazaki,JPN,31.97633,131.408
"5-2, UOITCIBAMAE, KESENNUMA-SHI, MIYAGI, JAPAN","5-2, UOITCIBAMAE, KESENNUMA-SHI, MIYAGI",MIYAGI,JPN,38.89634,141.59027
"5-2 UOICHIBAMAE, KESENNUMA-SHI, MIYAGI, JAPAN","5-2 UOICHIBAMAE, KESENNUMA-SHI, MIYAGI -- Miyagi -- JPN -- 38.91000 -- 141.58250",,,,
"1794, WAGU, SHIMA-CHO, SHIMA-SHI, MIE-KEN,JAPAN","1794 Wagu, Shima-cho, Shima-shi, Mie-ken",Mie,JPN,34.29345,136.89785
2-7-18 NARUTAKI NAGASAKI-SHI NAGASAKI-KEN,"2-7-18 Narutaki, Nagasaki-shi, Nagasaki-ken -- Nagasaki -- JPN -- 32.75500 -- 129.87778",,,,
"2-7-18,NARUTAKI,NAGASAKI-SHI,NAGASAKI-KEN,JAPAN","2-7-18, Narutaki","Nagasaki-shi, Nagasaki-ken",JPN,32.78,129.87333
"1-3-24, NAKASATO, ISHINOMAKI-SHI, MIYAGI-KEN, JAPAN","1-3-24, Nakasato","Ishinomaki-shi, Miyagi-ken",JPN,38.43833,141.2925
"3-11-21,ABURATSU, NICHINAN-SHI, MIYAZAKI, JAPAN","3-11-21, Aburatsu, Nichinan-shi, Miyazaki -- Miyazaki -- JPN -- 31.27480 -- 131.56917",,,,
"2477-1, USA, USA-CHO, TOSA-SHI, KOCHI, JAPAN","2477-1, USA, USA-CHO, TOSA-SHI, KOCHI",KOCHI,JPN,33.32,133.75
"1-32-21, YOGI, OKINAWA-SHI, OKINAWA,JAPAN","1-32-21, YOGI, OKINAWA-SHI, OKINAWA",Okinawa,JPN,26.33745,127.79935
"370,ASHIZAKI, NYUZEN-MACHI, SHIMONIKAWA-GUN, TOYAMA, JAPAN","370 Ashizaki, Nyusen-machi, Shimonikawa-gun, Toyama",Toyama Prefecture,JPN,36.59635,137.33877
370 ASHIZAKI NYUZEN-MACHI SHIMONIIKAWA-GUN TOYAMA-KEN JAPAN,"370 Ashizaki Nyugen-machi, Shimoniikawa-gun",Toyama-ken,JPN,36.83111,137.105
"370,ASHIZAKI,NYUZEN-MACHI, SHIMONIKAWA-GUN, TOYAMA, JAPAN","370 Ashizaki, Nyūzen-machi, Shimonikawa-gun, Toyama",Toyama,JPN,37.0625,137.36833
"2232, Motokou, Muroto-shi, Kochi-ken, Japan","2232, Motokou, Muroto-shi, Kochi-ken, Japan",Muroto-shi/Kochi-ken,JPN,33.28472,
"9547, HASAKI,KAMISU-SHI,IBARAKI,JAPAN","9547 Hasaki, Kamisu-shi, Ibaraki",Ibaraki,JPN,35.9423,140.65007
"4-17-10, NISHIZAKICHO, ITOMAN-CITY,OKINAWA, JAPAN","4-17-10, Nishizakicho, Itoman-City",Okinawa,JPN,26.10632,127.68025
