flag,vessel_name,fishing_hours,fishing_area,owner,vessel_type,owner_address,owner_providence_state,owner_country,owner_latitude,owner_longitude,home_port_name,home_port_providence_state,home_port_country,home_port_latitude,home_port_longitude
CHN,GUANGYUANYU338,669.11,hsp5,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU338,23.59,fiji_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU339,297.99,vanuatu_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU339,290.78,hsp4,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU339,901.27,hsp5,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU339,0.26,fiji_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU339,1443.02,kiribati1_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,HAI XING 715,22.94,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAI XING 715,328.13,kirbati2_eez,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAI XING 716,36.67,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Tuna longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAI XING 718,276.27,kirbati2_eez,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Tuna longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAI XING 815,4.0,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAI XING 815,295.55,kirbati2_eez,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAIXING717,11.45,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Tuna longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAIXING817,124.41,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAIXING817,2.84,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAIXING817,595.49,kirbati2_eez,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HAO YANG 77,274.04,nauru_eez,"Weihai Hanyang Ocean Fisheries Co., Ltd",Purse seiner,"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HAO YANG 77,40.89,tuvalu_eez,"Weihai Hanyang Ocean Fisheries Co., Ltd",Purse seiner,"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HAO YANG 77,563.78,kiribati1_eez,"Weihai Hanyang Ocean Fisheries Co., Ltd",Purse seiner,"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HAO YANG 77,42.44,solomon_islands_eez,"Weihai Hanyang Ocean Fisheries Co., Ltd",Purse seiner,"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HAO YANG 88,348.53,kiribati1_eez,"Weihai Hanyang Ocean Fisheries Co., Ltd",Purse seiner,"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 8,1735.1,hsp4,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 8,1735.1,hsp4,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 8,38.05,hsp5,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 8,38.05,hsp5,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 8,156.76,hsp7,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 8,156.76,hsp7,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 8,33.2,fiji_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 8,33.2,fiji_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,18.5,vanuatu_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,18.5,vanuatu_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,177.98,hsp4,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,177.98,hsp4,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,56.84,hsp5,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,56.84,hsp5,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,1799.05,hsp7,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,1799.05,hsp7,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,680.51,hsp6,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,680.51,hsp6,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,2249.14,png_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,2249.14,png_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,9.23,fiji_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,9.23,fiji_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 88,21.28,solomon_islands_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONG YANG 88,21.28,solomon_islands_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 9,780.59,hsp7,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 9,501.66,hsp6,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONG YANG 9,14.32,fiji_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONGYANG11,11.01,hsp7,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG11,14.57,fiji_eez,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG8,2.63,hsp3,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG8,2.63,hsp3,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONGYANG8,199.93,hsp7,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG8,199.93,hsp7,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONGYANG8,377.43,kirbati2_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG8,377.43,kirbati2_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HONGYANG88,0.5,fiji_eez,"zhoushan haixing ocean fisheries co., ltd",Longliner,"Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,HONGYANG88,0.5,fiji_eez,"RONGCHENG OCEAN FISHERY CO., LTD",Longliner,"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983,Shidao,Providence/State: 不明 (Unknown),Country (three letter abbreviation): CHN,25.18109,119.43783
CHN,HU YU 928,429.22,hsp4,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
CHN,HU YU 928,24.33,hsp5,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
CHN,HU YU 928,17.35,hsp6,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
CHN,HU YU 928,784.95,kirbati2_eez,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
CHN,HU YU 928,10.63,fiji_eez,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
CHN,HU YU 928,948.81,tuvalu_eez,"Shanghai Deep Sea Fisheries Co.,Ltd.",Longliner,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292,Shanghai,Shanghai,CHN,31.2304,121.4737
